Point 1 x (end),Point 1 z (end),Origin x (start),Origin z (start),Point 3 x,Point 3 z,Origin x (Pen2_tip2),Origin z (Pen2_tip2)
-290.06609,-2469.4354,-317.51428,-2467.9515,-313.59842,-2381.527,-320.43228,-2468.882
-288.51392,-2469.7365,-315.94504,-2468.0512,-311.53288,-2381.9674,-319.10587,-2468.9948
-286.37596,-2467.7423,-313.97603,-2466.0462,-310.38295,-2379.8325,-316.06146,-2468.3296
-288.622,-2469.9725,-315.71152,-2468.5366,-311.64308,-2382.4407,-318.83007,-2469.5532
-287.17566,-2469.2543,-314.63458,-2468.1081,-311.20621,-2382.4034,-317.50879,-2469.5122
-287.04127,-2468.5417,-314.23948,-2467.5594,-311.11014,-2381.3178,-316.47984,-2469.8461
-287.66611,-2467.6059,-315.01381,-2466.5949,-311.23052,-2380.0311,-317.63006,-2468.0127
-287.80013,-2470.3959,-315.31671,-2469.1967,-311.69016,-2382.4958,-318.3226,-2470.5839
-287.58471,-2469.0601,-314.9846,-2467.5013,-310.63589,-2381.2157,-317.67977,-2468.9032
-289.58501,-2469.1654,-316.36528,-2467.9231,-312.05597,-2381.9902,-318.78774,-2470.5479
-288.01073,-2468.6175,-315.49504,-2466.747,-311.01243,-2380.8577,-318.01372,-2468.2798
-288.30094,-2468.73,-315.80884,-2467.4981,-311.65577,-2381.0869,-318.18182,-2468.8733
-288.1365,-2468.6199,-315.52725,-2467.1917,-312.27345,-2380.9795,-317.78003,-2468.8244
-286.3204,-2469.1151,-313.69939,-2467.5395,-311.01484,-2381.4324,-316.5275,-2468.7704
-287.54584,-2469.4345,-315.04674,-2468.037,-311.23722,-2382.1546,-316.64965,-2469.7353
-288.21649,-2470.9784,-315.71463,-2469.723,-311.30291,-2383.7359,-317.90671,-2471.2212
-287.61,-2469.8421,-315.21009,-2468.8963,-312.54757,-2382.5539,-318.25011,-2471.026
-287.67886,-2468.8816,-314.87851,-2467.671,-311.19509,-2381.2696,-317.77637,-2469.3756
-287.74239,-2466.8654,-315.28673,-2465.4107,-311.67732,-2378.9756,-318.30244,-2467.0621
-287.42169,-2467.8286,-314.54881,-2467.3811,-312.38621,-2380.7972,-317.91493,-2469.7174
