Number of frames: 281
Frequency: 100
Units: rad/mm

Frame,Pen1_tip Rz,Pen1_tip Ry,Pen1_tip Rx,Pen1_tip x,Pen1_tip y,Pen1_tip z,Pen1_tip Error,Pen2_tip2 Rz,Pen2_tip2 Ry,Pen2_tip2 Rx,Pen2_tip2 x,Pen2_tip2 y,Pen2_tip2 z,Pen2_tip2 Error
1, 0.070429757,-0.267695010,-0.030795598,-314.611297607,-190.513977051,-2467.316650391, 0.027383124, 0.135680482, 0.045522440, 0.001830163,-162.141921997,-189.810379028,-2470.770996094, 0.005852012,
2, 0.070728779,-0.263972312,-0.031705737,-314.590545654,-190.508941650,-2467.309082031, 0.027502552, 0.135697559, 0.045479011, 0.001924407,-162.138168335,-189.807983398,-2470.795654297, 0.005585122,
3, 0.070716582,-0.261538476,-0.031608801,-314.563598633,-190.505981445,-2467.307861328, 0.027636100, 0.135703340, 0.045390449, 0.001878524,-162.134902954,-189.807327271,-2470.791748047, 0.005693089,
4, 0.070073664,-0.260370970,-0.030351525,-314.563903809,-190.509323120,-2467.344726563, 0.026441183, 0.135714561, 0.045504626, 0.001838058,-162.132965088,-189.808273315,-2470.783691406, 0.006235418,
5, 0.069099225,-0.259744823,-0.028516673,-314.572906494,-190.512115479,-2467.393066406, 0.026939239, 0.135690227, 0.045486975, 0.001923208,-162.135726929,-189.807403564,-2470.796875000, 0.005640803,
6, 0.068236634,-0.257697344,-0.027113032,-314.586669922,-190.515319824,-2467.373291016, 0.026334004, 0.135654315, 0.045596473, 0.002029740,-162.143615723,-189.806106567,-2470.812011719, 0.005758062,
7, 0.067549251,-0.255571872,-0.025695441,-314.590606689,-190.517257690,-2467.385742188, 0.026083272, 0.135664254, 0.045545984, 0.001952018,-162.142486572,-189.806503296,-2470.794433594, 0.006852342,
8, 0.067123219,-0.254709393,-0.024704229,-314.585632324,-190.519470215,-2467.352294922, 0.025472263, 0.135682419, 0.045392290, 0.002055825,-162.143295288,-189.804702759,-2470.817382813, 0.006523854,
9, 0.066801615,-0.254615575,-0.023908464,-314.576995850,-190.521179199,-2467.367187500, 0.025204925, 0.135675147, 0.045267116, 0.002288732,-162.147109985,-189.802474976,-2470.861328125, 0.005449994,
10, 0.066754565,-0.255132377,-0.023931650,-314.561950684,-190.520797729,-2467.368896484, 0.025131449, 0.135691196, 0.045294870, 0.002060635,-162.141799927,-189.804489136,-2470.820312500, 0.005492773,
11, 0.066751465,-0.256109744,-0.024836563,-314.562530518,-190.519210815,-2467.360595703, 0.025976216, 0.135654896, 0.045401588, 0.002084038,-162.143798828,-189.805175781,-2470.826904297, 0.005842393,
12, 0.066813715,-0.256030619,-0.026305474,-314.555450439,-190.516448975,-2467.369628906, 0.027069671, 0.135658130, 0.045626123, 0.002110610,-162.142166138,-189.806274414,-2470.827392578, 0.006094526,
13, 0.066805333,-0.255247504,-0.028248195,-314.557250977,-190.514114380,-2467.351074219, 0.026880303, 0.135698587, 0.045468736, 0.001909419,-162.133514404,-189.807830811,-2470.790039063, 0.005938407,
14, 0.066694021,-0.254186898,-0.030219529,-314.555389404,-190.511810303,-2467.305419922, 0.026469577, 0.135703877, 0.045500886, 0.002007084,-162.135772705,-189.807022095,-2470.808837891, 0.005614788,
15, 0.066297159,-0.253124118,-0.031310592,-314.572631836,-190.510284424,-2467.306884766, 0.026088674, 0.135714799, 0.045323171, 0.002174125,-162.134719849,-189.805358887,-2470.848876953, 0.005939029,
16, 0.065762587,-0.252601117,-0.031184833,-314.584808350,-190.510513306,-2467.349365234, 0.026716756, 0.135648340, 0.045383777, 0.001833727,-162.142700195,-189.809524536,-2470.794921875, 0.005554524,
17, 0.065343000,-0.252837986,-0.030441135,-314.580047607,-190.515060425,-2467.346435547, 0.027834745, 0.135628700, 0.045331746, 0.001970127,-162.142929077,-189.808242798,-2470.822021484, 0.005224070,
18, 0.065002903,-0.253238052,-0.029003127,-314.561920166,-190.513854980,-2467.399414063, 0.027541092, 0.135691389, 0.045430992, 0.001954348,-162.134140015,-189.807327271,-2470.817626953, 0.005379639,
19, 0.064770281,-0.253699005,-0.028054791,-314.550231934,-190.516601563,-2467.381103516, 0.026726143, 0.135706887, 0.045459453, 0.001940108,-162.132644653,-189.807739258,-2470.811523438, 0.005058555,
20, 0.064447701,-0.253586143,-0.027334530,-314.558135986,-190.520248413,-2467.356201172, 0.026733588, 0.135721385, 0.045523059, 0.001946320,-162.130462646,-189.808120728,-2470.807617188, 0.005835286,
21, 0.064116009,-0.253146350,-0.026745161,-314.555572510,-190.520019531,-2467.333496094, 0.027429897, 0.135673672, 0.045662526, 0.001916328,-162.137573242,-189.808715820,-2470.800537109, 0.005989346,
22, 0.063662998,-0.252529293,-0.026353547,-314.576263428,-190.523651123,-2467.311035156, 0.025839111, 0.135663122, 0.045732558, 0.002066062,-162.137786865,-189.807113647,-2470.822998047, 0.006042951,
23, 0.063332058,-0.251750439,-0.025994666,-314.576019287,-190.525466919,-2467.289306641, 0.025133207, 0.135657817, 0.045574792, 0.002009187,-162.137451172,-189.806930542,-2470.815673828, 0.005461819,
24, 0.063006051,-0.251286089,-0.025367189,-314.572601318,-190.523284912,-2467.341064453, 0.026352787, 0.135671690, 0.045602053, 0.002045915,-162.138626099,-189.805923462,-2470.827636719, 0.006242900,
25, 0.062876485,-0.250827968,-0.025261523,-314.571380615,-190.523757935,-2467.346191406, 0.026444294, 0.135704592, 0.045602277, 0.002182232,-162.137115479,-189.804489136,-2470.855224609, 0.006253484,
26, 0.062925331,-0.249840826,-0.025435168,-314.570800781,-190.520721436,-2467.380615234, 0.025841765, 0.135716051, 0.045475587, 0.002050453,-162.133499146,-189.805084229,-2470.831054688, 0.006054825,
27, 0.063230962,-0.249821305,-0.026300672,-314.547973633,-190.520233154,-2467.341552734, 0.026731428, 0.135663182, 0.045533821, 0.002056857,-162.141403198,-189.805343628,-2470.833496094, 0.005477573,
28, 0.063348234,-0.249925256,-0.027006369,-314.530395508,-190.516815186,-2467.333007813, 0.027526191, 0.135651007, 0.045465287, 0.002104669,-162.141052246,-189.806137085,-2470.843750000, 0.006211516,
29, 0.063079901,-0.249239624,-0.027532225,-314.548065186,-190.517333984,-2467.325439453, 0.026785012, 0.135694504, 0.045473084, 0.002033497,-162.131576538,-189.806213379,-2470.831298828, 0.006905422,
30, 0.062683463,-0.248383358,-0.027750870,-314.564910889,-190.519699097,-2467.303955078, 0.026153479, 0.135693073, 0.045565899, 0.002008137,-162.133422852,-189.806640625,-2470.827148438, 0.006414359,
31, 0.062199268,-0.248289585,-0.027386036,-314.579467773,-190.522445679,-2467.320800781, 0.026477139, 0.135669455, 0.045389216, 0.001983733,-162.136550903,-189.807006836,-2470.823974609, 0.006946956,
32, 0.061959438,-0.248063385,-0.026899595,-314.571990967,-190.523834229,-2467.327880859, 0.025080208, 0.135703966, 0.045388613, 0.001943233,-162.130523682,-189.806900024,-2470.820312500, 0.006699462,
33, 0.061854236,-0.247373283,-0.026447820,-314.563964844,-190.523818970,-2467.337646484, 0.025843732, 0.135668725, 0.045259163, 0.001874168,-162.134353638,-189.808258057,-2470.812255859, 0.005220168,
34, 0.061855484,-0.246493563,-0.026192578,-314.560577393,-190.522994995,-2467.354492188, 0.025342833, 0.135646150, 0.045422222, 0.001983389,-162.142181396,-189.808364868,-2470.833984375, 0.005068640,
35, 0.061954197,-0.245703429,-0.026057797,-314.541839600,-190.521560669,-2467.362060547, 0.025098985, 0.135712847, 0.045374580, 0.001910466,-162.129287720,-189.808456421,-2470.822998047, 0.005007451,
36, 0.061901871,-0.244781286,-0.026205614,-314.550628662,-190.522003174,-2467.327148438, 0.025105137, 0.135673061, 0.045613509, 0.001904711,-162.139373779,-189.809036255,-2470.817871094, 0.006032580,
37, 0.061736397,-0.244050622,-0.026012877,-314.553588867,-190.521987915,-2467.326416016, 0.024904141, 0.135631099, 0.045457136, 0.001941372,-162.144775391,-189.808532715,-2470.830078125, 0.006579148,
38, 0.061486024,-0.243902296,-0.025363203,-314.550598145,-190.520736694,-2467.370361328, 0.025016746, 0.135674238, 0.045479055, 0.001760298,-162.132888794,-189.809005737,-2470.796875000, 0.005650114,
39, 0.061230693,-0.244121209,-0.024782864,-314.535919189,-190.518936157,-2467.387451172, 0.025371123, 0.135690138, 0.045582335, 0.001891184,-162.131591797,-189.807250977,-2470.816162109, 0.005600768,
40, 0.060871981,-0.244275883,-0.024578445,-314.544891357,-190.521041870,-2467.375732422, 0.023928322, 0.135699362, 0.045429472, 0.001865078,-162.126052856,-189.807006836,-2470.817871094, 0.005225616,
41, 0.060570613,-0.244638368,-0.024628473,-314.545654297,-190.521026611,-2467.388183594, 0.025226496, 0.135680839, 0.045182440, 0.001915207,-162.128234863,-189.806015015,-2470.825195313, 0.006177214,
42, 0.060249023,-0.245238543,-0.024860064,-314.546386719,-190.518203735,-2467.409179688, 0.026451226, 0.135646433, 0.045232095, 0.002098326,-162.139083862,-189.803833008,-2470.858154297, 0.006313480,
43, 0.060002133,-0.245518357,-0.025696434,-314.559387207,-190.522567749,-2467.328369141, 0.025332857, 0.135664031, 0.045433290, 0.001926565,-162.140457153,-189.806259155,-2470.828857422, 0.006018168,
44, 0.059637848,-0.245726362,-0.025911158,-314.566223145,-190.521057129,-2467.339111328, 0.026518360, 0.135704026, 0.045553699, 0.001924127,-162.136566162,-189.805664063,-2470.825683594, 0.006463252,
45, 0.059320811,-0.245725065,-0.026142357,-314.573028564,-190.522720337,-2467.326660156, 0.025796065, 0.135676131, 0.045625795, 0.001952021,-162.141403198,-189.804519653,-2470.832275391, 0.006506420,
46, 0.059046175,-0.245710820,-0.025893571,-314.571563721,-190.520263672,-2467.362304688, 0.026210478, 0.135672882, 0.045526236, 0.001912775,-162.139617920,-189.804534912,-2470.833496094, 0.006396640,
47, 0.058893990,-0.245524123,-0.025635134,-314.552764893,-190.519027710,-2467.367675781, 0.025582002, 0.135653347, 0.045495510, 0.001866818,-162.138565063,-189.804977417,-2470.827636719, 0.005770395,
48, 0.058711506,-0.244727209,-0.025416389,-314.554138184,-190.520156860,-2467.360107422, 0.024810990, 0.135648862, 0.045386352, 0.001806485,-162.136795044,-189.806137085,-2470.817626953, 0.006134923,
49, 0.058415335,-0.244516134,-0.024991086,-314.552581787,-190.520690918,-2467.356689453, 0.025526412, 0.135663748, 0.045514584, 0.001767043,-162.133712769,-189.805923462,-2470.808349609, 0.006903988,
50, 0.058084402,-0.244148597,-0.024410205,-314.552307129,-190.521865845,-2467.369873047, 0.025455117, 0.135629326, 0.045556191, 0.001762461,-162.138214111,-189.806823730,-2470.812011719, 0.006364145,
51, 0.057698954,-0.244034171,-0.023927741,-314.564453125,-190.524169922,-2467.370117188, 0.025725389, 0.135579795, 0.045632843, 0.001664612,-162.146194458,-189.808135986,-2470.801025391, 0.006066115,
52, 0.057499856,-0.243584424,-0.023536447,-314.559997559,-190.524383545,-2467.390136719, 0.024320126, 0.135636494, 0.045508251, 0.001894965,-162.137496948,-189.805633545,-2470.844482422, 0.006159699,
53, 0.057493068,-0.243192881,-0.023597702,-314.549743652,-190.524810791,-2467.370361328, 0.023939623, 0.135659575, 0.045416750, 0.001865951,-162.135482788,-189.806259155,-2470.840576172, 0.006824088,
54, 0.057398301,-0.243580058,-0.023602605,-314.537567139,-190.522964478,-2467.388916016, 0.025645217, 0.135673448, 0.045636699, 0.001835985,-162.136764526,-189.806304932,-2470.834960938, 0.006637547,
55, 0.057196099,-0.243389770,-0.024058437,-314.551422119,-190.525207520,-2467.358398438, 0.024795746, 0.135674164, 0.045261137, 0.001838313,-162.130249023,-189.806289673,-2470.842529297, 0.006055908,
56, 0.056865092,-0.243168488,-0.024126442,-314.559051514,-190.523315430,-2467.395019531, 0.025722710, 0.135646433, 0.045284383, 0.001792115,-162.133361816,-189.806823730,-2470.829101563, 0.006260983,
57, 0.056676269,-0.243010029,-0.024536060,-314.554351807,-190.523178101,-2467.377197266, 0.026804509, 0.135635063, 0.045211155, 0.001613694,-162.130386353,-189.808380127,-2470.796875000, 0.006160128,
58, 0.056448244,-0.242516726,-0.024804151,-314.560729980,-190.522888184,-2467.383789063, 0.025672076, 0.135637626, 0.045422126, 0.001714235,-162.131790161,-189.808013916,-2470.809326172, 0.006093137,
59, 0.056195814,-0.242103830,-0.025148597,-314.568756104,-190.526306152,-2467.361816406, 0.025988258, 0.135643467, 0.045639504, 0.001846244,-162.135742188,-189.806945801,-2470.831542969, 0.005986367,
60, 0.055867400,-0.242093608,-0.025081381,-314.571105957,-190.524169922,-2467.392333984, 0.026165051, 0.135689899, 0.045665473, 0.001883610,-162.131088257,-189.806716919,-2470.840576172, 0.006252181,
61, 0.055685855,-0.242316186,-0.025018437,-314.569946289,-190.523941040,-2467.385253906, 0.026398152, 0.135670632, 0.045380685, 0.001726252,-162.130661011,-189.807373047,-2470.819824219, 0.006480997,
62, 0.055609964,-0.242420390,-0.024743663,-314.564147949,-190.523361206,-2467.401367188, 0.025952712, 0.135659024, 0.045571301, 0.001773426,-162.134140015,-189.806716919,-2470.831298828, 0.005943597,
63, 0.055686962,-0.242667556,-0.024618953,-314.549499512,-190.523223877,-2467.388671875, 0.025370924, 0.135667533, 0.045655228, 0.001734403,-162.131546021,-189.807189941,-2470.817626953, 0.005982962,
64, 0.055688176,-0.242603868,-0.024371389,-314.540069580,-190.522064209,-2467.402099609, 0.026427621, 0.135657400, 0.045470607, 0.001683289,-162.130554199,-189.806655884,-2470.810302734, 0.006851031,
65, 0.055617973,-0.242355704,-0.024494378,-314.540863037,-190.523895264,-2467.373291016, 0.025618855, 0.135619760, 0.045237698, 0.001720173,-162.134857178,-189.807037354,-2470.813720703, 0.006172040,
66, 0.055268265,-0.242455825,-0.024209136,-314.552215576,-190.521743774,-2467.433837891, 0.025631698, 0.135650754, 0.045477107, 0.001688243,-162.132049561,-189.808380127,-2470.800048828, 0.006760782,
67, 0.054990087,-0.242745668,-0.024350533,-314.564727783,-190.522521973,-2467.432373047, 0.026625948, 0.135638580, 0.045714844, 0.001630975,-162.137939453,-189.808181763,-2470.789794922, 0.006027351,
68, 0.054854609,-0.242955670,-0.024727037,-314.570739746,-190.524871826,-2467.408447266, 0.026162060, 0.135635510, 0.045566138, 0.001525836,-162.138504028,-189.808334351,-2470.777099609, 0.005393074,
69, 0.054950524,-0.243128434,-0.025062224,-314.553771973,-190.520843506,-2467.427246094, 0.025877431, 0.135670379, 0.045323011, 0.001655009,-162.133743286,-189.806701660,-2470.807617188, 0.005975307,
70, 0.055066962,-0.243391693,-0.025897861,-314.559478760,-190.521652222,-2467.383056641, 0.025095945, 0.135662317, 0.045333035, 0.001776501,-162.136764526,-189.805358887,-2470.833251953, 0.006642547,
71, 0.055338811,-0.243366122,-0.026860842,-314.553894043,-190.523986816,-2467.325439453, 0.024316469, 0.135638744, 0.045489304, 0.001779849,-162.138015747,-189.805175781,-2470.835693359, 0.006058692,
72, 0.055538271,-0.243295088,-0.027452173,-314.555877686,-190.523193359,-2467.328857422, 0.023843024, 0.135608837, 0.045506146, 0.001797874,-162.140060425,-189.805252075,-2470.837646484, 0.006066285,
73, 0.055773661,-0.243446246,-0.027838150,-314.543304443,-190.521499634,-2467.330810547, 0.023826385, 0.135606527, 0.045461923, 0.001701249,-162.135711670,-189.806503296,-2470.814208984, 0.005690961,
74, 0.055879138,-0.243098214,-0.027793532,-314.539123535,-190.519775391,-2467.355468750, 0.024380097, 0.135637969, 0.045695074, 0.001823162,-162.135620117,-189.806747437,-2470.828369141, 0.005934480,
75, 0.055885829,-0.243336096,-0.027807020,-314.540710449,-190.523101807,-2467.315917969, 0.024456644, 0.135640129, 0.045712214, 0.001948874,-162.140380859,-189.806579590,-2470.842529297, 0.006289785,
76, 0.055600855,-0.243475094,-0.027110294,-314.556762695,-190.524261475,-2467.368896484, 0.025173591, 0.135701030, 0.045473076, 0.001728042,-162.127243042,-189.808944702,-2470.805908203, 0.006153432,
77, 0.055472828,-0.243577048,-0.026664020,-314.553375244,-190.523742676,-2467.378417969, 0.025078012, 0.135663196, 0.045686651, 0.001732980,-162.139389038,-189.809173584,-2470.808837891, 0.006783160,
78, 0.055320531,-0.243919596,-0.026132161,-314.544097900,-190.521530151,-2467.409423828, 0.025095053, 0.135652781, 0.045635961, 0.001592187,-162.138748169,-189.809768677,-2470.789062500, 0.005687466,
79, 0.055133373,-0.243802026,-0.025934111,-314.550354004,-190.523284912,-2467.401855469, 0.025236707, 0.135668024, 0.045515493, 0.001469076,-162.136352539,-189.810485840,-2470.775878906, 0.006294964,
80, 0.054904468,-0.243542746,-0.025755081,-314.554382324,-190.522552490,-2467.421386719, 0.025633745, 0.135683328, 0.045386404, 0.001676063,-162.132858276,-189.808135986,-2470.821533203, 0.006480787,
81, 0.054831527,-0.243700385,-0.025979878,-314.550445557,-190.523712158,-2467.382568359, 0.024791939, 0.135672644, 0.045433518, 0.001694903,-162.130157471,-189.807723999,-2470.825683594, 0.006103841,
82, 0.054791111,-0.244263425,-0.026042050,-314.540435791,-190.522888184,-2467.370849609, 0.023796681, 0.135676757, 0.045478653, 0.001609444,-162.124908447,-189.808242798,-2470.805419922, 0.005781908,
83, 0.054633826,-0.244938985,-0.025751285,-314.535003662,-190.519912720,-2467.433105469, 0.024468957, 0.135647386, 0.045317929, 0.001780358,-162.126037598,-189.806488037,-2470.832275391, 0.006292857,
84, 0.054582570,-0.245746642,-0.026113253,-314.535705566,-190.519287109,-2467.410888672, 0.024068495, 0.135671809, 0.045506530, 0.001708607,-162.125091553,-189.806823730,-2470.809326172, 0.006340766,
85, 0.054541264,-0.246227518,-0.026764197,-314.547058105,-190.522338867,-2467.346191406, 0.024387684, 0.135682970, 0.045681711, 0.001674101,-162.128326416,-189.807113647,-2470.798828125, 0.006955532,
86, 0.054458346,-0.246988207,-0.026787577,-314.544433594,-190.521072388,-2467.353759766, 0.024374817, 0.135691240, 0.045635954, 0.001618154,-162.128173828,-189.807174683,-2470.782958984, 0.006260747,
87, 0.054337133,-0.247127980,-0.026552087,-314.547912598,-190.519866943,-2467.380126953, 0.025234835, 0.135689035, 0.045574479, 0.001678485,-162.131561279,-189.806335449,-2470.799072266, 0.006604793,
88, 0.054321252,-0.247358963,-0.026491875,-314.544036865,-190.522033691,-2467.359863281, 0.024207173, 0.135654882, 0.045499053, 0.001540712,-162.132400513,-189.808853149,-2470.779052734, 0.006085685,
89, 0.054261155,-0.247897297,-0.026068911,-314.530426025,-190.519912720,-2467.401123047, 0.025136244, 0.135659069, 0.045430165, 0.001704008,-162.132492065,-189.807403564,-2470.812988281, 0.006966589,
90, 0.054117937,-0.248217851,-0.025883248,-314.529174805,-190.520492554,-2467.395751953, 0.025300689, 0.135671303, 0.045490749, 0.001848300,-162.131988525,-189.805084229,-2470.839843750, 0.006445552,
91, 0.053875849,-0.248415828,-0.025912389,-314.533569336,-190.523345947,-2467.368408203, 0.025221607, 0.135638416, 0.045705028, 0.001827221,-162.137557983,-189.805740356,-2470.829589844, 0.006735462,
92, 0.053466890,-0.248719528,-0.025961759,-314.558135986,-190.524673462,-2467.380615234, 0.025007198, 0.135651201, 0.045641545, 0.001764174,-162.132034302,-189.806167603,-2470.817871094, 0.006786265,
93, 0.053345390,-0.249052897,-0.026525773,-314.559112549,-190.526336670,-2467.331298828, 0.024614336, 0.135652274, 0.045695893, 0.001731967,-162.130096436,-189.806625366,-2470.810791016, 0.006791449,
94, 0.053235587,-0.249233082,-0.026417054,-314.549835205,-190.520706177,-2467.397949219, 0.026808195, 0.135597885, 0.045649465, 0.001805285,-162.140090942,-189.805694580,-2470.819335938, 0.006139564,
95, 0.053302638,-0.249038219,-0.026992809,-314.550415039,-190.522674561,-2467.340332031, 0.024678573, 0.135635808, 0.045609433, 0.001792925,-162.136734009,-189.805282593,-2470.818115234, 0.005838127,
96, 0.053218983,-0.249510407,-0.026902322,-314.542480469,-190.521316528,-2467.363769531, 0.025912747, 0.135672748, 0.045726120, 0.001630637,-162.132705688,-189.807846069,-2470.792480469, 0.006453373,
97, 0.053065352,-0.249998599,-0.026853345,-314.547912598,-190.523559570,-2467.358398438, 0.025410268, 0.135652229, 0.045907982, 0.001643633,-162.139038086,-189.808990479,-2470.791992188, 0.006166301,
98, 0.052925620,-0.250022650,-0.026659349,-314.546600342,-190.524993896,-2467.366455078, 0.024793087, 0.135684878, 0.045681551, 0.001710570,-162.131027222,-189.807708740,-2470.809570313, 0.006369740,
99, 0.052768737,-0.250612944,-0.026404193,-314.539855957,-190.525390625,-2467.375976563, 0.025353434, 0.135639518, 0.045502879, 0.001838614,-162.135772705,-189.807434082,-2470.835449219, 0.005819102,
100, 0.052527107,-0.250971317,-0.026309026,-314.552154541,-190.527450562,-2467.379394531, 0.025114950, 0.135635629, 0.045554578, 0.001912982,-162.137420654,-189.807418823,-2470.845947266, 0.006015864,
