Number of frames: 313
Frequency: 100
Units: rad/mm

Frame,Pen1_tip Rz,Pen1_tip Ry,Pen1_tip Rx,Pen1_tip x,Pen1_tip y,Pen1_tip z,Pen1_tip Error,Pen2_tip2 Rz,Pen2_tip2 Ry,Pen2_tip2 Rx,Pen2_tip2 x,Pen2_tip2 y,Pen2_tip2 z,Pen2_tip2 Error
1, 0.065470442,-0.036203243,-0.046863925,-306.315155029,-188.964569092,-2474.411621094, 0.014025184,,,,,,,,
2, 0.064261243,-0.035624422,-0.048057187,-306.321472168,-188.964767456,-2474.450195313, 0.014405522,,,,,,,,
3, 0.062997736,-0.034123585,-0.049782529,-306.327850342,-188.963455200,-2474.451171875, 0.013687562,,,,,,,,
4, 0.061657213,-0.032828242,-0.051700260,-306.341217041,-188.962554932,-2474.448486328, 0.013730996,,,,,,,,
5, 0.060247201,-0.031350065,-0.053533535,-306.372222900,-188.963806152,-2474.468017578, 0.012845862,,,,,,,,
6, 0.059267074,-0.030392477,-0.055391308,-306.369323730,-188.963485718,-2474.427246094, 0.011820214,,,,,,,,
7, 0.058459986,-0.029297035,-0.056356322,-306.384338379,-188.962203979,-2474.476074219, 0.012785335,,,,,,,,
8, 0.057990205,-0.028050363,-0.056927487,-306.365844727,-188.959869385,-2474.525634766, 0.013826014,,,,,,,,
9, 0.057507079,-0.026166355,-0.057603162,-306.356719971,-188.959640503,-2474.513671875, 0.012675595,,,,,,,,
10, 0.056948021,-0.024728712,-0.057781592,-306.339233398,-188.959045410,-2474.548339844, 0.012863626,,,,,,,,
11, 0.056152310,-0.023618056,-0.057980742,-306.339416504,-188.958923340,-2474.556152344, 0.013185943,,,,,,,,
12, 0.055140425,-0.022988047,-0.058494758,-306.356018066,-188.960250854,-2474.499755859, 0.013434068,,,,,,,,
13, 0.054200176,-0.022828627,-0.058485080,-306.367279053,-188.960083008,-2474.518554688, 0.013038993,,,,,,,,
14, 0.053485438,-0.022276929,-0.058565550,-306.357910156,-188.959442139,-2474.526611328, 0.013723704,,,,,,,,
15, 0.052793536,-0.021644548,-0.058421474,-306.347747803,-188.959121704,-2474.592285156, 0.013631890,,,,,,,,
16, 0.052033737,-0.020441584,-0.058745239,-306.349914551,-188.958404541,-2474.619140625, 0.013185551,,,,,,,,
17, 0.051208973,-0.018795984,-0.059681743,-306.356781006,-188.959793091,-2474.586914063, 0.013856113,,,,,,,,
18, 0.050410282,-0.016317248,-0.060539275,-306.355743408,-188.958801270,-2474.605957031, 0.014411658,,,,,,,,
19, 0.049561497,-0.013609141,-0.061338466,-306.370727539,-188.959136963,-2474.657470703, 0.014482649,,,,,,,,
20, 0.048870374,-0.011141027,-0.062570892,-306.374481201,-188.959945679,-2474.622314453, 0.014403895,,,,,,,,
21, 0.048462205,-0.008706169,-0.063672371,-306.362396240,-188.960601807,-2474.566406250, 0.013962658,,,,,,,,
22, 0.048219346,-0.006649860,-0.064270973,-306.350097656,-188.960906982,-2474.561523438, 0.013459188,,,,,,,,
23, 0.047998231,-0.005012175,-0.064556032,-306.327148438,-188.961761475,-2474.569091797, 0.013568531,,,,,,,,
24, 0.047447603,-0.003179817,-0.064504564,-306.335113525,-188.963317871,-2474.622070313, 0.013678977,,,,,,,,
25, 0.046712764,-0.001345871,-0.064670727,-306.348693848,-188.964965820,-2474.622070313, 0.012518935,,,,,,,,
26, 0.045959204, 0.000957910,-0.064785242,-306.368621826,-188.965621948,-2474.611572266, 0.013135988,,,,,,,,
27, 0.045459535, 0.002727954,-0.064571641,-306.354309082,-188.965011597,-2474.632324219, 0.012973842,,,,,,,,
28, 0.045027271, 0.004807070,-0.064253151,-306.342468262,-188.964477539,-2474.650634766, 0.012925323,,,,,,,,
29, 0.044637337, 0.006220890,-0.064205430,-306.327301025,-188.963592529,-2474.622070313, 0.012156712,,,,,,,,
30, 0.044067156, 0.007265401,-0.063737549,-306.330017090,-188.962707520,-2474.698486328, 0.012414173,,,,,,,,
31, 0.043397561, 0.008398342,-0.064289987,-306.322753906,-188.962936401,-2474.651611328, 0.012541511,,,,,,,,
32, 0.042475957, 0.009854435,-0.064985290,-306.346496582,-188.962432861,-2474.643554688, 0.012174412,,,,,,,,
33, 0.041643426, 0.011486725,-0.065824203,-306.351776123,-188.961807251,-2474.649169922, 0.013048928,,,,,,,,
34, 0.040960807, 0.013501173,-0.066933401,-306.343933105,-188.961471558,-2474.620605469, 0.012546964,,,,,,,,
35, 0.040344495, 0.015714426,-0.067806065,-306.334777832,-188.958984375,-2474.609375000, 0.011540969,,,,,,,,
36, 0.039758351, 0.018159075,-0.068295427,-306.325103760,-188.961166382,-2474.622070313, 0.012104435,,,,,,,,
37, 0.039051130, 0.020183424,-0.068616197,-306.322418213,-188.961303711,-2474.638671875, 0.013274852,,,,,,,,
38, 0.038151864, 0.022268506,-0.069047742,-306.321014404,-188.961822510,-2474.642822266, 0.011867356,,,,,,,,
39, 0.037114006, 0.024716534,-0.069604345,-306.328918457,-188.962722778,-2474.645019531, 0.011654063,,,,,,,,
40, 0.036043707, 0.027036376,-0.070321843,-306.344665527,-188.962188721,-2474.643310547, 0.011451412,,,,,,,,
