Point 1 x (end),Point 1 z (end),Origin x (start),Origin z (start),Point 3 x,Point 3 z
-270.0073,-2569.5849,-307.31519,-2569.2924,-305.70792,-2475.0175
-272.72143,-2568.4497,-309.66318,-2567.4212,-307.47058,-2472.9855
-272.03092,-2569.1083,-308.8927,-2568.8187,-306.34088,-2474.731
-271.97312,-2572.0437,-308.57543,-2571.8683,-306.96163,-2477.6785
-273.11885,-2570.4726,-309.90575,-2569.7821,-307.3638,-2475.4711
-273.57606,-2577.1147,-310.54528,-2576.8716,-307.72101,-2482.8924
-273.06924,-2570.2088,-309.55152,-2569.9735,-307.93635,-2475.9664
-272.93812,-2574.5911,-309.73738,-2573.8486,-307.41366,-2479.6644
-273.04954,-2569.6192,-310.07484,-2568.9322,-307.06225,-2475.3139
-272.06775,-2572.4922,-308.40495,-2571.76,-306.70099,-2477.8741
-270.92748,-2568.611,-307.9603,-2568.2652,-306.49407,-2474.0172
-272.54439,-2565.5674,-309.64477,-2565.5744,-307.354,-2471.5551
-271.94718,-2572.643,-308.98926,-2571.6285,-306.27435,-2477.8
-272.95791,-2571.7879,-309.98489,-2571.1387,-307.51343,-2476.9084
-273.09703,-2573.6822,-310.58037,-2573.3147,-308.17952,-2479.056
-272.99542,-2571.6531,-309.5434,-2570.4309,-306.68402,-2477.0163
-273.16704,-2573.2863,-310.17723,-2572.5107,-307.36746,-2478.404
-273.24587,-2567.8237,-310.40711,-2566.876,-306.85039,-2472.4107
-274.45654,-2572.9746,-311.09213,-2571.8098,-307.98108,-2477.8346
-272.51558,-2571.2377,-309.33025,-2570.2182,-307.57801,-2476.5425
