Number of frames: 277
Frequency: 100
Units: rad/mm

Frame,Pen1_tip Rz,Pen1_tip Ry,Pen1_tip Rx,Pen1_tip x,Pen1_tip y,Pen1_tip z,Pen1_tip Error,Pen2_tip2 Rz,Pen2_tip2 Ry,Pen2_tip2 Rx,Pen2_tip2 x,Pen2_tip2 y,Pen2_tip2 z,Pen2_tip2 Error
1, 0.043879449, 0.168001771,-0.035750628,-271.921905518,-188.684600830,-2571.972900391, 0.014193224,,,,,,,,
2, 0.043475568, 0.168171316,-0.035682511,-271.924957275,-188.687728882,-2571.925292969, 0.013326979,,,,,,,,
3, 0.043148872, 0.168179646,-0.035084467,-271.934356689,-188.686035156,-2571.971435547, 0.013845090,,,,,,,,
4, 0.042968463, 0.168111205,-0.034557410,-271.945068359,-188.685470581,-2572.033691406, 0.013926812,,,,,,,,
5, 0.042960253, 0.167973354,-0.034627162,-271.931182861,-188.687133789,-2572.022705078, 0.014693895,,,,,,,,
6, 0.042957619, 0.168466762,-0.035123643,-271.916839600,-188.687255859,-2571.987792969, 0.014183762,,,,,,,,
7, 0.042812750, 0.168934554,-0.035631891,-271.919738770,-188.686660767,-2571.985107422, 0.013840716,,,,,,,,
8, 0.042643234, 0.169124484,-0.035935238,-271.916961670,-188.685546875,-2572.000244141, 0.014702206,,,,,,,,
9, 0.042397056, 0.169293389,-0.036022808,-271.908203125,-188.685180664,-2571.999023438, 0.014430318,,,,,,,,
10, 0.041917406, 0.169146568,-0.035929818,-271.908935547,-188.685150146,-2572.000488281, 0.014379013,,,,,,,,
11, 0.041255657, 0.169298932,-0.035845406,-271.930328369,-188.687911987,-2571.979736328, 0.014934598,,,,,,,,
12, 0.040760819, 0.168932408,-0.035298772,-271.945739746,-188.687133789,-2572.041015625, 0.015586146,,,,,,,,
13, 0.040317688, 0.168100968,-0.035332784,-271.963989258,-188.689575195,-2572.025390625, 0.014186573,,,,,,,,
14, 0.040165748, 0.167533517,-0.035542823,-271.963958740,-188.689956665,-2572.009521484, 0.014822221,,,,,,,,
15, 0.040115461, 0.167313427,-0.035396103,-271.980865479,-188.687286377,-2572.067138672, 0.015089695,,,,,,,,
